State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Gujarat,Amreli,Babra APMC,Cereals,Wheat,Other,FAQ,"2,355.00","2,695.00","2,525.00",Rs./Quintal,2025-09-08
Gujarat,Amreli,Dhari APMC,Cereals,Wheat,Lokwan Gujrat,FAQ,"2,425.00","2,425.00","2,425.00",Rs./Quintal,2025-09-08
Gujarat,Amreli,Rajula APMC,Cereals,Wheat,PISSI,FAQ,"2,845.00","3,055.00","2,950.00",Rs./Quintal,2025-09-08
Gujarat,Amreli,Savarkundla APMC,Cereals,Wheat,Bansi,FAQ,"2,750.00","3,055.00","2,900.00",Rs./Quintal,2025-09-08
Gujarat,Amreli,The Agricultural Produce Market Committee-Amreli,Cereals,Wheat,Lokwan,FAQ,"2,570.00","2,870.00","2,775.00",Rs./Quintal,2025-09-08
Gujarat,Amreli,The Agricultural Produce Market Committee-Amreli,Cereals,Wheat,Rajasthan Tukdi,FAQ,"2,125.00","2,905.00","2,770.00",Rs./Quintal,2025-09-08
Gujarat,Anand,Borsad APMC,Cereals,Wheat,Other,FAQ,"2,500.00","2,600.00","2,550.00",Rs./Quintal,2025-09-08
Gujarat,Anand,Khambhat(Grain Market) APMC,Cereals,Wheat,Other,FAQ,"2,350.00","2,750.00","2,500.00",Rs./Quintal,2025-09-08
Gujarat,Banaskanth,Palanpur APMC,Cereals,Wheat,Other,FAQ,"2,680.00","2,750.00","2,715.00",Rs./Quintal,2025-09-08
Gujarat,Banaskanth,Vadgam APMC,Cereals,Wheat,147 Average,FAQ,"2,605.00","2,635.00","2,605.00",Rs./Quintal,2025-09-08
Gujarat,Bharuch,Jambusar APMC,Cereals,Wheat,Other,FAQ,"2,800.00","3,200.00","3,000.00",Rs./Quintal,2025-09-08
Gujarat,Bhavnagar,Bhavnagar APMC,Cereals,Wheat,Local,FAQ,"2,655.00","3,005.00","2,830.00",Rs./Quintal,2025-09-08
Gujarat,Bhavnagar,Mahuva(Station Road) APMC,Cereals,Wheat,Kalyan,FAQ,"1,800.00","3,100.00","2,500.00",Rs./Quintal,2025-09-08
Gujarat,Bhavnagar,Taleja APMC,Cereals,Wheat,Kalyan,FAQ,"2,460.00","2,895.00","2,680.00",Rs./Quintal,2025-09-08
